Имя                            | Статик     | Ранг            | Сумма      | Статьи
----------------------------------------------------------------------------------------------------
🔴 Lewis_LakeFox                | 66750      | 13              | 100000     | 17.1
🔴 Rudy_LakeFox                 | 33678      | 11              | 25000      | 12.8
🔴 Jake_LakeFoxez               | 123932     | 10              | 400000     | 17.1,17.1,17.1,17.1
🔴 Dmitriy_Fox                  | 251957     | 9               | 25000      | 12.8
🔴 Merty_Fox                    | 94622      | 9               | 100000     | 17.1
🟢 Daniil_Kornev                | 141614     | 8               | 25000      | 17.6
🔴 Egor_Sunrise                 | 229725     | 8               | 500000     | 17.1,17.1,17.1,17.1,17.1
🔴 Fortune_Aegisov              | 217292     | 8               | 200000     | 17.1,17.1
🔴 Furion_Fillmore              | 7474       | 6               | 50000      | 10.8
🔴 Oleg_Pafoszaki               | 46958      | 6               | 200000     | 17.1,17.1
🔴 Boris_Satanicov              | 262783     | 6               | 125000     | 7.1,12.7.1
🔴 Kaneki_McGill                | 278935     | 6               | 100000     | 17.1
🔴 Luni_Trappa                  | 95461      | 6               | 500000     | 17.1,17.1,17.1,17.1,17.1
🔴 Deimos_Fear                  | 36848      | 6               | 100000     | 17.1
🟢 Faks_Psewdo                  | 95515      | 1               | 100000     | 17.1
🔴 Kolya_Psewdoyan              | 137047     | 1               | 100000     | 17.1
🔴 Yungway_Psewdojan            | 247143     | 1               | 50000      | 6.1,12.8
🟢 Asyan_Psewdyan               | 146921     | 1               | 225000     | 12.8,17.1,17.1
                                |            |                 |            | 
Общая сумма  = 2.950.000        |            |                 |            | 
